officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Jillellaguda B.O,500079,B.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Saroornagar,K.V.Rangareddy,TELANGANA,NA,Vaishalinagar S.O,Stn Kachiguda H.O,NA,NA
Kanchanbagh S.O,500058,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Bandlaguda,Hyderabad,TELANGANA,040-24344839,NA,Hyderabad Jubilee H.O,NA,NA
Kandukur B.O,501359,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Mankhal S.O,Hyderabad Jubilee H.O,NA,NA
Kappapahad B.O,501506,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Ibrahimpatnam S.O (K.V.Rangareddy),Stn Kachiguda H.O,NA,NA
Karmanghat B.O,500079,B.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Saroornagar,K.V.Rangareddy,TELANGANA,NA,Vaishalinagar S.O,Stn Kachiguda H.O,NA,NA
Kattedan Ie S.O,500077,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rajendranagar,Hyderabad,TELANGANA,040-23463844,NA,Hyderabad Jubilee H.O,NA,NA
Kavadpalli B.O,501505,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Hayatnagar S.O,Stn Kachiguda H.O,NA,NA
Keshogiri S.O,500005,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Bandlaguda,Hyderabad,TELANGANA,040-23463843,NA,Hyderabad Jubilee H.O,NA,NA
Kishanbagh B.O,500064,B.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Bahadurpura,Hyderabad,TELANGANA,NA,Bahadurpura S.O,Hyderabad Jubilee H.O,NA,NA
Kismathpur B.O,500030,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Hyderabad,Hyderabad,TELANGANA,NA,Rajendranagar S.O (K.V.Rangareddy),Hyderabad Jubilee H.O,NA,NA
Koheda B.O,501511,B.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Sanghinagar S.O,Stn Kachiguda H.O,NA,NA
Kongarakalan B.O,501510,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Ragannaguda X Roads S.O,Stn Kachiguda H.O,NA,NA
Kongaraviryla B.O,501510,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Maheswaram,K.V.Rangareddy,TELANGANA,NA,Ragannaguda X Roads S.O,Stn Kachiguda H.O,NA,NA
Kothapalli B.O,501509,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Yacharam S.O,Stn Kachiguda H.O,NA,NA
Kotwalguda B.O,501218,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Shamshabad S.O (K.V.Rangareddy),Hyderabad Jubilee H.O,NA,NA
Kuntloor B.O,501505,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,NA,K.V.Rangareddy,TELANGANA,NA,Hayatnagar S.O,Stn Kachiguda H.O,NA,NA
Kurmidda B.O,501509,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Yacharam S.O,Stn Kachiguda H.O,NA,NA
L B Nagar S.O,500074,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Hyderabad,Hyderabad,TELANGANA,040-23463845,NA,Stn Kachiguda H.O,NA,NA
Lemur B.O,501359,B.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Mankhal S.O,Hyderabad Jubilee H.O,NA,NA
Lingampalli B.O,501508,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Raipole S.O,Stn Kachiguda H.O,NA,NA
Madhapur B.O,501506,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Ibrahimpatnam S.O (K.V.Rangareddy),Stn Kachiguda H.O,NA,NA
Maisaram B.O,501359,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Mankhal S.O,Hyderabad Jubilee H.O,NA,NA
Malakpet Colony S.O,500036,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Amberpet,Hyderabad,TELANGANA,040-23463808,NA,Stn Kachiguda H.O,NA,NA
Mallapur B.O,500076,B.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Uppal,K.V.Rangareddy,TELANGANA,NA,I.E.Nacharam S.O,Stn Kachiguda H.O,NA,NA
Mamidipalli B.O,500005,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Hyderabad,Hyderabad,TELANGANA,NA,Keshogiri S.O,Hyderabad Jubilee H.O,NA,NA
Manchal B.O,501508,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Raipole S.O,Stn Kachiguda H.O,NA,NA
Mangalpalli B.O,501510,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Ragannaguda X Roads S.O,Stn Kachiguda H.O,NA,NA
Mankhal S.O,501359,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,040-23463808,NA,Hyderabad Jubilee H.O,NA,NA
Mansoorabad B.O,500068,B.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Hayathnagar,K.V.Rangareddy,TELANGANA,NA,Gsi(Sr) Bandlaguda S.O,Stn Kachiguda H.O,NA,NA
Manthangowd Gowrelli B.O,501509,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Yacharam S.O,Stn Kachiguda H.O,NA,NA
Medipalli B.O,501509,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Yacharam S.O,Stn Kachiguda H.O,NA,NA
Medipalli S.O,500098,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Ghatkesar,Hyderabad,TELANGANA,NA,NA,Stn Kachiguda H.O,NA,NA
Meerkhanpet B.O,501509,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Yacharam S.O,Stn Kachiguda H.O,NA,NA
Meerpet S.O,500097,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Saroornagar,Hyderabad,TELANGANA,NA,NA,Stn Kachiguda H.O,NA,NA
Moghalpura S.O,500002,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Charminar,Hyderabad,TELANGANA,040-23463847,NA,Hyderabad Jubilee H.O,NA,NA
Mondigowrelli B.O,501509,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Yacharam S.O,Stn Kachiguda H.O,NA,NA
Nadergul B.O,501510,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Ragannaguda X Roads S.O,Stn Kachiguda H.O,NA,NA
Nagaram B.O,501218,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Shamshabad S.O (K.V.Rangareddy),Hyderabad Jubilee H.O,NA,NA
Nallakunta S.O,500044,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Musheerabad,Hyderabad,TELANGANA,040-23463848,NA,Stn Kachiguda H.O,NA,NA
Nallavalli B.O,501509,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Yacharam S.O,Stn Kachiguda H.O,NA,NA
Nanajipur B.O,501218,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Shamshabad S.O (K.V.Rangareddy),Hyderabad Jubilee H.O,NA,NA
Nandiwanaparthy B.O,501509,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Yacharam S.O,Stn Kachiguda H.O,NA,NA
Narkhoda B.O,501218,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Shamshabad S.O (K.V.Rangareddy),Hyderabad Jubilee H.O,NA,NA
Nazdiksingaram B.O,501509,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Yacharam S.O,Stn Kachiguda H.O,NA,NA
Nedunur B.O,501359,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Mankhal S.O,Hyderabad Jubilee H.O,NA,NA
New Nallakunta S.O,500044,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Musheerabad,Hyderabad,TELANGANA,040-23463849,NA,Stn Kachiguda H.O,NA,NA
Nimboliadda S.O,500027,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Nampally,Hyderabad,TELANGANA,040-23463850,NA,Stn Kachiguda H.O,NA,NA
Old Malakpet S.O,500036,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Saidabad,Hyderabad,TELANGANA,040-23463854,NA,Stn Kachiguda H.O,NA,NA
Osmannagar S.O (Hyderabad),500036,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Saidabad,Hyderabad,TELANGANA,040-23463853,NA,Stn Kachiguda H.O,NA,NA
P & T Colony S.O (K.V.Rangareddy),500060,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Saroornagar,Hyderabad,TELANGANA,040-23463855,NA,Stn Kachiguda H.O,NA,NA
Pahadishareef B.O,500005,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Saroornagar,K.V.Rangareddy,TELANGANA,NA,Keshogiri S.O,Hyderabad Jubilee H.O,NA,NA
Pasmamala B.O,501505,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Hayatnagar S.O,Stn Kachiguda H.O,NA,NA
Pedda Amberpet B.O,501505,B.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Hayatnagar S.O,Stn Kachiguda H.O,NA,NA
Peerzadiguda B.O,500039,B.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Hyderabad,Hyderabad,TELANGANA,NA,Uppal S.O (K.V.Rangareddy),Stn Kachiguda H.O,NA,NA
Pocharam B.O,501506,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Ibrahimpatnam S.O (K.V.Rangareddy),Stn Kachiguda H.O,NA,NA
Polkampalli B.O,501508,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Raipole S.O,Stn Kachiguda H.O,NA,NA
Pulmamidi B.O,501359,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Mankhal S.O,Hyderabad Jubilee H.O,NA,NA
Qutubullapur B.O,501505,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Hayatnagar S.O,Stn Kachiguda H.O,NA,NA
R.C.Imarat S.O,500069,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Bandlaguda,Hyderabad,TELANGANA,040-23463860,NA,Hyderabad Jubilee H.O,NA,NA
Rachaloor B.O,501359,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Mankhal S.O,Hyderabad Jubilee H.O,NA,NA
Ragannaguda X Roads S.O,501510,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Hayathnagar,K.V.Rangareddy,TELANGANA,08415-233872,NA,Stn Kachiguda H.O,NA,NA
Raipole S.O,501508,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,08414-254622,NA,Stn Kachiguda H.O,NA,NA
Rajendranagar S.O (K.V.Rangareddy),500030,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rajendranagar,Hyderabad,TELANGANA,040-24015336,NA,Hyderabad Jubilee H.O,NA,NA
Ramakrishanapuram S.O,500035,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Saroornagar,K.V.Rangareddy,TELANGANA,040-23463859,NA,Stn Kachiguda H.O,NA,NA
Ramdaspalli B.O,501510,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Ragannaguda X Roads S.O,Stn Kachiguda H.O,NA,NA
Ramoji Film City S.O,501512,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Hayathnagar,K.V.Rangareddy,TELANGANA,08415-242386,NA,Stn Kachiguda H.O,NA,NA
Rangapur B.O,501508,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Raipole S.O,Stn Kachiguda H.O,NA,NA
Rangareddy Dt Courts S.O,500074,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Saroornagar,K.V.Rangareddy,TELANGANA,040-23463857,NA,Stn Kachiguda H.O,NA,NA
Sahifa S.O,500024,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Saidabad,Hyderabad,TELANGANA,040-23463862,NA,Hyderabad Jubilee H.O,NA,NA
Saidabad Colony S.O,500059,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Saidabad,Hyderabad,TELANGANA,040-23463863,NA,Hyderabad Jubilee H.O,NA,NA
Saidabad S.O (Hyderabad),500059,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Hyderabad,Hyderabad,TELANGANA,040-23463963,NA,Hyderabad Jubilee H.O,NA,NA
Sanghinagar S.O,501511,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Hayathnagar,K.V.Rangareddy,TELANGANA,08415-243022,NA,Stn Kachiguda H.O,NA,NA
Santoshnagar Colony S.O,500059,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Saidabad,Hyderabad,TELANGANA,040-24534122,NA,Hyderabad Jubilee H.O,NA,NA
Sarada Nagar S.O,500070,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Hayathnagar,K.V.Rangareddy,TELANGANA,NA,NA,Stn Kachiguda H.O,NA,NA
Saroornagar S.O,500035,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Hyderabad,Hyderabad,TELANGANA,040-23463965,NA,Stn Kachiguda H.O,NA,NA
Seminary B.O,500013,B.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Amberpet,Hyderabad,TELANGANA,NA,Hyderabad Public School S.O,Stn Kachiguda H.O,NA,NA
Seriguda B.O,501510,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Ibrahimpatnam,K.V.Rangareddy,TELANGANA,NA,Ragannaguda X Roads S.O,Stn Kachiguda H.O,NA,NA
Shahalibanda S.O,500065,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Charminar,Hyderabad,TELANGANA,040-24383173,NA,Hyderabad Jubilee H.O,NA,NA
Shamshabad S.O (K.V.Rangareddy),501218,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,08413-222022,NA,Hyderabad Jubilee H.O,NA,NA
Shivarampalli B.O,500052,B.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rajendranagar,K.V.Rangareddy,TELANGANA,NA,Svpnpa S.O,Hyderabad Jubilee H.O,NA,NA
Snehapuri Colony S.O,500076,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Uppal,K.V.Rangareddy,TELANGANA,040-23463865,NA,Stn Kachiguda H.O,NA,NA
Srinivasapuram S.O (Hyderabad),500013,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Amberpet,Hyderabad,TELANGANA,040-23463866,NA,Stn Kachiguda H.O,NA,NA
Sripuram Colony B.O,500036,B.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Amberpet,Hyderabad,TELANGANA,NA,Malakpet Colony S.O,Stn Kachiguda H.O,NA,NA
Stn Kachiguda H.O,500027,H.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Himayathnagar,Hyderabad,TELANGANA,040-23463811,NA,NA,NA,NA
Survey Of India S.O,500039,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Uppal,K.V.Rangareddy,TELANGANA,040-23463868,NA,Stn Kachiguda H.O,NA,NA
Svpnpa S.O,500052,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rajendranagar,Hyderabad,TELANGANA,040-23463869,NA,Hyderabad Jubilee H.O,NA,NA
Tadbun B.O,500064,B.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Bahadurpura,Hyderabad,TELANGANA,NA,Bahadurpura S.O,Hyderabad Jubilee H.O,NA,NA
Tadlapalliguda B.O,501508,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Raipole S.O,Stn Kachiguda H.O,NA,NA
Taramatipeta B.O,501505,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Hayatnagar S.O,Stn Kachiguda H.O,NA,NA
Tatiparthy B.O,501509,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Yacharam S.O,Stn Kachiguda H.O,NA,NA
Thimmapur B.O,501506,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Ibrahimpatnam S.O (K.V.Rangareddy),Stn Kachiguda H.O,NA,NA
Toolkalan B.O,501509,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Yacharam S.O,Stn Kachiguda H.O,NA,NA
Toolkhurd B.O,501509,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Yacharam S.O,Stn Kachiguda H.O,NA,NA
Torrur B.O,501511,B.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Sanghinagar S.O,Stn Kachiguda H.O,NA,NA
Tummalur B.O,501359,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Mankhal S.O,Hyderabad Jubilee H.O,NA,NA
Turkayamzal B.O,501510,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Ragannaguda X Roads S.O,Stn Kachiguda H.O,NA,NA
Uppal S.O (K.V.Rangareddy),500039,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Uppal,K.V.Rangareddy,TELANGANA,040-23463871,NA,Stn Kachiguda H.O,NA,NA
Uppuguda S.O,500053,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Charminar,Hyderabad,TELANGANA,040-23463872,NA,Hyderabad Jubilee H.O,NA,NA
Vaidehinagar S.O,500070,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Hayathnagar,K.V.Rangareddy,TELANGANA,040-24241322,NA,Stn Kachiguda H.O,NA,NA
Vaishalinagar S.O,500079,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Saroornagar,Hyderabad,TELANGANA,040-24074832,NA,Stn Kachiguda H.O,NA,NA
Vanastalipuram S.O,500070,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Hayathnagar,Hyderabad,TELANGANA,040-23463875,NA,Stn Kachiguda H.O,NA,NA
Vidyanagar S.O (Hyderabad),500044,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Musheerabad,Hyderabad,TELANGANA,040-23463877,NA,Stn Kachiguda H.O,NA,NA
Vinjapur B.O,501510,B.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Hayathnagar,K.V.Rangareddy,TELANGANA,NA,Ragannaguda X Roads S.O,Stn Kachiguda H.O,NA,NA
Yacharam S.O,501509,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,08414-243222,NA,Stn Kachiguda H.O,NA,NA
Yakutpura S.O,500023,S.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Charminar,Hyderabad,TELANGANA,040-23463879,NA,Hyderabad Jubilee H.O,NA,NA
Zindatelismath B.O,500013,B.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Amberpet,Hyderabad,TELANGANA,NA,Amberpet S.O,Stn Kachiguda H.O,NA,NA
Adikcherla B.O,501142,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Peddimal S.O,Vikarabad H.O,NA,NA
Administrative Buildings S.O,500007,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,040-23463733,NA,Secunderabad H.O,NA,NA
Agnoor B.O,501144,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Yalal S.O,Vikarabad H.O,NA,NA
Ainapur B.O,501502,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Bompalli S.O,Vikarabad H.O,NA,NA
Airforce Academy S.O,500043,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,08518-254049,NA,Trimulgherry H.O,NA,NA
Aliabad B.O,500101,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,NA,Shamirpet S.O,Trimulgherry H.O,NA,NA
Allampalli S.O.,501102,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Vikarabad,Hyderabad,TELANGANA,NA,NA,Vikarabad H.O,NA,NA
Allapur B.O,501141,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Tandur S.O,Vikarabad H.O,NA,NA
Alur B.O,501503,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Chevella S.O,Vikarabad H.O,NA,NA
Alwal S.O,500010,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,040-23463787,NA,Trimulgherry H.O,NA,NA
Amdapur B.O,501504,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Moinabad S.O,Vikarabad H.O,NA,NA
Amradikalan B.O,501202,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Mominpet S.O,Vikarabad H.O,NA,NA
Anandbagh S.O,500047,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,040-23463758,NA,Trimulgherry H.O,NA,NA
Anantagiripally B.O,501102,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Allampalli S.O.,Vikarabad H.O,NA,NA
Anantaram B.O,500101,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,NA,Shamirpet S.O,Trimulgherry H.O,NA,NA
Ankireddipalli B.O,501301,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,NA,Ghatkesar S.O,Secunderabad H.O,NA,NA
Ankushapur B.O,501301,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,NA,Ghatkesar S.O,Secunderabad H.O,NA,NA
Antaram B.O,501503,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Chevella S.O,Vikarabad H.O,NA,NA
Antharam B.O,501141,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Tandur S.O,Vikarabad H.O,NA,NA
Aoc Records S.O,500015,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,040-23463756,NA,Trimulgherry H.O,NA,NA
Aphb Colony Moulali S.O,500040,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,040-23463721,NA,Secunderabad H.O,NA,NA
Arkatala B.O,501111,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Nawabpet,K.V.Rangareddy,TELANGANA,NA,Nawabpet S.O (K.V.Rangareddy),Vikarabad H.O,NA,NA
Ashoknagar S.O (Hyderabad),500020,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Musheerabad,Hyderabad,TELANGANA,NA,NA,Secunderabad H.O,NA,NA
Athveli B.O,501401,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Medchal S.O,Trimulgherry H.O,NA,NA
Atveli B.O,501102,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Allampalli S.O.,Vikarabad H.O,NA,NA
Bachupally B.O,500090,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Qutubullapur,K.V.Rangareddy,TELANGANA,NA,Nizampet  S.O,Trimulgherry H.O,NA,NA
